TM,Tm,H,VV,V,_Autumn,_Spring,_Summer,_Winter,aqi_level
31,23,77,1,8,0,0,0,1,2
30,19,42,2,9,0,0,0,1,2
31,14,34,2,9,0,0,0,1,3
32,19,35,2,10,0,0,0,1,3
32,21,47,2,8,0,0,0,1,3
33,20,49,2,7,0,0,0,1,3
32,17,55,1,6,0,0,0,1,3
32,21,42,2,12,0,0,0,1,3
31,20,39,2,10,0,0,0,1,3
27,17,60,1,8,0,0,0,1,3
27,18,65,1,5,0,0,0,1,3
29,18,65,1,6,0,0,0,1,3
30,18,49,1,6,0,0,0,1,3
31,16,43,2,6,0,0,0,1,3
33,20,31,2,10,0,0,0,1,3
32,15,44,2,8,0,0,0,1,3
29,15,55,1,6,0,0,0,1,3
30,15,51,1,5,0,0,0,1,3
30,17,68,1,7,0,0,0,1,3
29,18,59,1,6,0,0,0,1,3
29,17,54,2,6,0,0,0,1,3
30,20,56,2,8,0,0,0,1,3
29,19,57,2,9,0,0,0,1,3
29,17,58,2,9,0,0,0,1,2
34,22,40,2,7,0,0,0,1,2
33,19,48,2,6,0,0,0,1,4
29,18,56,2,6,0,0,0,1,3
31,19,47,2,6,0,0,0,1,3
29,19,67,2,9,0,0,0,1,3
29,19,56,3,8,0,0,0,1,3
32,17,50,3,7,0,0,0,1,3
32,18,54,2,7,0,0,0,1,3
32,19,51,2,6,0,0,0,1,3
31,18,59,3,9,0,0,0,1,3
31,19,65,3,7,0,0,0,1,3
32,16,62,3,6,0,0,0,1,3
39,20,34,3,6,0,0,0,1,3
31,22,64,3,10,0,0,0,1,3
29,19,57,3,11,0,0,0,1,3
28,17,64,4,8,0,0,0,1,2
28,20,72,4,15,0,1,0,0,2
28,16,51,3,9,0,1,0,0,3
34,18,43,3,7,0,1,0,0,3
32,19,55,3,9,0,1,0,0,3
34,22,46,3,7,0,1,0,0,3
37,21,44,3,8,0,1,0,0,2
32,23,66,3,9,0,1,0,0,3
30,21,70,3,10,0,1,0,0,2
37,19,42,3,9,0,1,0,0,3
36,21,40,2,7,0,1,0,0,3
35,22,59,2,8,0,1,0,0,3
41,22,49,3,10,0,1,0,0,3
34,25,79,2,10,0,1,0,0,3
33,25,82,2,10,0,1,0,0,3
35,21,28,4,10,0,1,0,0,2
33,19,53,4,11,0,1,0,0,1
33,20,56,3,10,0,1,0,0,1
32,22,68,3,10,0,1,0,0,1
32,22,67,2,9,0,1,0,0,3
32,22,71,2,11,0,1,0,0,3
32,25,74,3,9,0,1,0,0,3
32,23,66,3,8,0,1,0,0,2
31,23,68,3,8,0,1,0,0,2
33,21,66,3,9,0,1,0,0,2
34,24,66,3,9,0,1,0,0,2
34,25,78,3,10,0,1,0,0,1
35,25,76,3,11,0,1,0,0,2
33,24,68,3,10,0,1,0,0,2
33,23,73,4,10,0,1,0,0,1
34,24,73,3,9,0,1,0,0,1
34,25,75,4,9,0,1,0,0,1
